DW;LW;WW;Titel;Interpret;Bewertung
1;;1;Criminal;Jala Brat, Buba Corelli , Raf Camora;3,1
2;2;19;Abcdefu;Gayle;2
3;3;46;Heat Waves;Glass Animals;2,6
4;1;4;Sehnsucht;Miksu / Macloud , T-Low;4,3
5;4;32;Where Are You Now;Lost Frequencies , Calum Scott;4,5
6;5;19;Enemy;Imagine Dragons, Jid , League Of Legends;4,7
7;8;27;Cold Heart;Elton John , Dua Lipa;3,6
8;7;28;Shivers;Ed Sheeran;2,6
9;6;8;Weg Von Mir;Civo;2,8
10;14;27;Pepas;Farruko;4,1
11;11;14;The Motto;Tiësto , Ava Max;4,5
12;10;27;Acapulco;Jason Derulo;4,2
13;9;12;Down Under;Luude , Colin Hay;4,4
14;13;37;Stay;The Kid Laroi , Justin Bieber;2,1
15;12;39;Bad Habits;Ed Sheeran;4,2
16;15;26;Thats What I Want;Lil Nas X;3
17;17;20;Infinity;Jaymes Young;2,1
18;19;12;Manila;Ray Dalton , Alvaro Soler;2,1
19;16;71;Another Love;Tom Odell;4,1
20;20;4;Remedy;Leony;2,6
21;21;21;Do It To It;Acraze , Cherish;2,1
22;22;39;Love Tonight;Shouse;2,9
23;23;18;Mit Dir;Sido;4,5
24;;1;Glücklich;01099 , Cro;3
25;25;34;Blaues Licht;Raf Camora , Bonez Mc;4,6
26;42;2;Cool For The Summer;Demi Lovato;3,5
27;26;8;Brooklyn;Glockenbach , Clockclock;2,3
28;27;4;Bam Bam;Camila Cabello , Ed Sheeran;2,8
29;44;3;In The Dark;Purple Disco Machine , Sophie And The Giants;2,8
30;31;34;Auf & Ab;Montez;3,7
31;33;45;Good 4 U;Olivia Rodrigo;2,5
32;28;3;Halo;Lum!X , Pia Maria;3,9
33;39;7;Middle Of The Night;Elley Duhé;4,9
34;38;13;Young Right Now;Robin Schulz , Dennis Lloyd;4,9
35;34;59;Wellerman;Nathan Evans, 220 Kid , Billen Ted;4,1
36;32;35;Industry Baby;Lil Nas X , Jack Harlow;2,9
37;37;59;Save Your Tears;The Weeknd;3,5
38;29;7;Boyfriend;Dove Cameron;4,8
39;24;3;Crno Oko;Nucci;2,8
40;36;7;Wenn Du Mich Vermisst;Fourty , Mathea;4,2
41;45;23;Easy On Me;Adele;2,9
42;46;26;10Von10;Pajel;3,9
43;47;24;Thunder;Gabry Ponte, Lum!X , Prezioso;4,5
44;40;2;Maybe;Machine Gun Kelly , Bring Me The Horizon;4,7
45;48;2;Tom's Diner;Annenmaykantereit , Giant Rooks;4,8
46;;1;Nyokosuzi;Inas;4,7
47;53;35;Sommergewitter;Pashanim;3
48;49;37;Expresso & Tschianti;Josh.;2,4
49;35;9;Kopf Aus;1986Zig;2,3
50;61;24;2Cb;Raf Camora , Luciano;3
51;66;10;Vergesse Nie Die Street;Raf Camora , Ahmad Amin;2,6
52;55;52;Friday;Riton , Nightcrawlers , Mufasa , Hypeman;4,8
53;54;115;Blinding Lights;The Weeknd;2,5
54;18;2;Majestic;Luciano;4
55;52;12;Alright;Alle Farben , Kiddo;4,1
56;50;44;Without Me;Eminem;4
57;64;2;Anyone For You;George Ezra;2,1
58;;1;Detinjstvo;Voyage (Rs);2,8
59;57;24;Friendships (Lost My Love);Pascal Letoublon , Leony;4,7
60;67;42;Beggin';Måneskin;4,1
61;;10;To The Moon;Jnr Choi;2,8
62;60;42;Get Lucky;Daft Punk , Pharrell Williams And Nile Rodgers;3,7
63;56;19;Der Letzte Song (Alles Wird Gut);Kummer , Fred Rabe;2,1
64;73;33;Because You Move Me;Tinlicker , Helsloot;3,2
65;51;22;My Universe;Coldplay , Bts;3,1
66;59;22;Späti;Gzuz;3,9
67;63;12;Softcore;The Neighbourhood;4
68;;1;Make Up Sex;Machine Gun Kelly , Blackbear;2
69;72;52;Can't Hold Us;Macklemore , Ryan Lewis , Ray Dalton;3,3
70;62;17;Moth To A Flame;Swedish House Mafia , The Weeknd;2,5
71;68;9;Overpass Graffiti;Ed Sheeran;4
72;70;6;Light Switch;Charlie Puth;2,6
73;75;24;Belgisches Viertel;Art (De);4,2
74;;13;61 Grad;Endzone , Tm;4,2
75;41;3;Zeit;Rammstein;3,4